,generic,next,AU,CA,FR,JP,KR,ES,DE,GB,IT,NL,NO,SE,US
d3,Net ODA and debt relief,,"ODA fell to US$3.3 billion in 2016, down from a peak of US$4.0 billion in 2012","ODA fell to US$3.9 billion in 2016, US$500 million lower than the peak of US$4.4 billion in 2012","Net ODA rose by US$576 million in 2016, though it remains below the peak of US$11.3 billion in 2010","ODA rose to US$10.4 billion in 2016, with totals excluding debt relief at the highest levels since 2000","ODA rose to its highest-ever level in 2016, at US$2.2 billion","ODA rose threefold to US$4.2 billion in 2016, though remains at less than a third of peak levels in 2008","ODA rose to almost US$25 billion in 2016, more than double pre-2014 levels",ODA rose to peak levels of US$18.1 billion in 2016,Net ODA rose to peak levels of US$5.1 billion in 2016,Net ODA fell to US$5.0 billion in 2016,ODA levels of US$4.4 billion in 2016 represented a record level,ODA fell from a 2015 peak to US$4.9 billion in 2016,"ODA rose to US$34 billion in 2016, up from US$31 billion in 2015"
d3_subtitle,"US$ billions, constant 2016 prices",,"US$ billions, constant 2015 prices",,,,,,,,,,,,
d3_start_year,1960,,,,,,,,,,,,,,
d3_end_year,2016,,,,,,,,,,,,,,
d4,ODA and GNI per capita,,ODA is equivalent to US$135 per person,ODA is equivalent to US$108 per person,ODA is equivalent to US$144 per person,ODA is equivalent to US$82 per person,ODA is equivalent to US$44 per person,ODA is equivalent to US$91 per person,ODA is equivalent to US$300 per person,ODA is equivalent to US$275 per person,ODA is equivalent to US$84 per person,ODA is equivalent to US$292 per person,ODA is equivalent to US$837 per person,ODA is equivalent to US$493 per person,ODA is equivalent to US$106 per person
d4_subtitle,2016,,,,,,,,,,,,,,
d4_year,2016,,,,,,,,,,,,,,
d5,ODA as a percentage of GNI,,"ODA fell to 0.27% of GNI in 2016, down from a peak of 0.36%   in 2012",ODA fell to 0.26% of GNI in 2016,ODA rose slightly to 0.38% of GNI in 2016,ODA remained at 0.20% of GNI in 2016,ODA rose to 0.16% of GNI in 2016,"ODA rose significantly to 0.34% of GNI in 2016, almost a threefold increase since 2015","ODA continued to rise to 0.70% of GNI in 2016, its highest-ever level",ODA remained at 0.70% of GNI in 2016,ODA rose to 0.27% of GNI in 2016,"ODA fell to 0.65% of GNI in 2016, to a similar level as 2013 and 2014","ODA rose to 1.12% of GNI in 2016, the highest ratio among OECD DAC countries",ODA fell to 0.94% of GNI in 2016,"ODA rose to 0.19% of GNI in 2016, back to 2014 levels"
d5_subtitle,Net ODA as % of GNI,,,,,,,,,,,,,,
d5_start_year,1960,,,,,,,,,,,,,,
d5_end_year,2016,,,,,,,,,,,,,,
p1_notes,Acronyms: DAC: Development Assistance Committee; FDI: foreign direct investment; GNI: gross national income; ODA: official development assistance; OOFs: other official flows.,,,,,,,,,,,,,,
p2_intro,This section highlights where resources from this donor are received geographically and includes an in-depth focus on ODA.,,"Over half of all resources from Australia to developing countries go to Far East Asia. Remittances are the largest flow to this and many other regions, though ODA is the largest flow to Oceania.","Almost half of remittances go to Far East Asia and a further 26% to South and Central Asia. The primary destination for ODA is sub-Saharan Africa, which accounts for almost 50% of regionally allocable bilateral ODA. Afghanistan was the largest country recipient of ODA in 2016, followed by Ethiopia and Mali.","Africa is the largest destination for resource flows from France, with sub-Saharan Africa accounting for 22% and North Africa for 30% of all flows in 2016. ODA and remittances are the primary flows to sub-Saharan Africa, while 73% of flows to North Africa are remittances. Over a third of ODA is channelled through multilateral agencies. The largest country recipients of bilateral ODA are Morocco, Jordan and Côte d’Ivoire.","Almost two-thirds of resources from Japan go to other countries in Far East Asia – the region accounts for 85% of remittances, 68% of FDI and 59% of OOFs. ODA, however, is more widely distributed – 29% of bilateral ODA goes to Far East Asia, while 36% goes to South and Central Asia and 11% to sub-Saharan Africa.","74% of flows to developing countries go to countries those in Far East Asia: 96% of remittances and 77% of FDI go to countries in the region. 60% of OOFs, the largest flow overall, go to just three East Asian countries: China, Indonesia and Viet Nam. The largest recipients of ODA are Viet Nam, Tanzania and the Philippines.","34% of flows to developing countries go to South America, and a further 25% to North and Central America. Most ODA goes to North and Central America at 80%, then sub-Saharan Africa at 8%. The largest country recipients of ODA are Cuba and Côte d’Ivoire . More than half of ODA is channelled through bilateral institutions.","Official finance – ODA and OOFs – accounts for almost half of resource flows from Germany to developing countries, though each flow is distributed quite differently across countries. Sub-Saharan Africa and the Middle East are the primary regional destinations for ODA, while China, Syria and India are the largest country recipients. A growing proportion of ODA is spent within Germany. ","South and Central Asia and sub-Saharan Africa are the largest destinations for resource flows to developing countries, though the mix of flows varies between them and other regions. Remittances account for 76% of flows to South and Central Asia.","2016 saw a decline across most types of financing from Italy, though the distribution of flows varies. Africa is the largest destination overall; remittances account for 73% and 69% of flows to South and Central Asia and Far East Asia, respectively. 35% of transferred ODA goes to Africa, primarily sub-Saharan Africa, though Turkey and Afghanistan are the largest and third-largest country recipients respectively.","South America and South and Central Asia are the largest regional destinations for resource flows to developing countries, with FDI volumes dominating flows. 40% of remittances flow to countries in Far East Asia, while more than half of bilateral ODA goes to sub-Saharan Africa. The largest country recipients of ODA are Turkey and Ethiopia.","Over a third of total ODA goes to sub-Saharan Africa, the largest regional recipient. Two thirds is regionally unspecified, of which 30% is not transferred out of Norway. The largest country recipients are Syria, Brazil and Afghanistan. 70% of remittances go to Far East Asia and South and Central Asia. ","South and Central Asia is the largest regional destination for flows leaving Sweden; it accounts for just under a third of export credits, the largest flow. However, more than 30% of ODA, US$1.1 billion in 2016, was not transferred out of Sweden. Excluding geographically unspecified ODA, bilateral ODA exceeds multilateral ODA; 29% of ODA is channelled through multilateral organisations.","Resource flows from the US to developing countries are spread geographically around the world. Over a third go to North and Central America and 29% to Far East Asia. Remittances are the largest flow in many regions, though FDI is the largest flow to South America and ODA is the largest to sub-Saharan Africa and the Middle East."
p2_section_title_1,Where do resources from _NAME_ go?,,,,,,,,,,,,,,
d14,Resource mix by region,,Remittances account for 85% of flows to Far East Asia and South and Central Asia; ODA accounts for 76% of flows to Oceania,Remittances account for 90% of flows to Far East Asia and South and Central Asia; ODA and remittances account for 45% of flows to sub-Saharan Africa,"Remittances and ODA together account for almost three-quarters of flows to sub-Saharan Africa, while remittances account for 73% to North Africa","The resource mix varies by region; FDI accounts for 54% of flows to Far East Asia, while ODA and FDI together make up 67% to South and Central Asia","FDI accounts for 45% of flows to Far East Asia, and 62% to South America; OOFs and remittances are also significant in Far East Asia","FDI is only reported to South America and North and Central America where it accounts for 35% and 2% of flows, respectively; remittances are the largest flow in most other regions","FDI accounts for 65% of flows to Far East Asia, while ODA and FDI together make up 57% to South and Central Asia","South and Central Asia and sub-Saharan Africa together account for 61% of flows; remittances are the largest to both regions, while ODA accounts for 20% and 34%, respectively","Over a third of FDI is invested in Europe, while remittances are spread across Europe, Asia and Africa",FDI is the largest flow to all regions; remittances make up 17% of flows to Far East Asia,ODA exceeds remittances in all bar two regions (Far East Asia and North Africa); OOFs are concentrated in sub-Saharan Africa and North-Central-America,"South and Central Asia accounts for the most flows by region, at 21%. FDI makes up 60% of flows in Far East Asia, while remittances make up over a third","North and Central America and Far East Asia together account for 64% of flows, with remittances making up 87% and 72%, respectively, in each region"
d14_subtitle,"Distribution of international resources by region, US$ millions, 2016",,,,,,,,,,,,,,
d14_year,2016,,,,,,,,,,,,,,
d6,Largest 10 recipients by aid bundle,,"70% of ODA to Papua New Guinea, the largest recipient, is technical cooperation",The mix of financing instruments varies among the largest recipients of ODA,"Loans are the primary instrument to Jordan and most other large ODA recipients except Côte d'Ivoire, where grants are largest","Loans account for the majority of ODA to India and most other large ODA recipients except Afghanistan, where cash grants are largest","Loans are the main instrument in Viet Nam, Tanzania and five other of the top ten ODA recipients","Cuba is the largest ODA recipient, primarily due to debt relief, which is also the main modality for the second-largest recipient, Côte  D’Ivoire","Loans are the primary instrument to India and most other large ODA recipients, with the exceptions of Syria and Afghanistan where commodities and food and technical cooperation, respectively, are the largest instruments",Cash grants constituted 63% of ODA to Pakistan and 45% to Ethiopia. Over half of ODA to Nigeria was technical assistance,Guinea-Bissau and Turkey are the largest ODA recipients; the bundle of ODA varies significantly from country to country,"Commodity and food aid dominates to Turkey, the largest ODA recipient in 2016; cash grants are largest for most other big recipients",Cash grants are the primary instrument for four out of five of the largest country recipients,Cash grants are the main instrument for all 10 largest ODA country recipients,"Mixed project aid and cash grants together account for the majority of ODA to Afghanistan, Jordan and most large ODA recipients"
d6_subtitle,"2016, gross bilateral ODA, labels are US$ millions",,,,,,,,,,,,,,
d6_above_column_title,Aid to 10 largest recipients,,,,,,,,,,,,,,
d6_below_bars_title,What does the aid bundle look like for each recipient?,,,,,,,,,,,,,,
d6_year,2016,,,,,,,,,,,,,,
d7,Bilateral and multilateral ODA by region,,70% of ODA is bilateral,32% of ODA is channelled through multilateral institutions,France is the fourth largest funder of multilaterals; 37% of ODA is multilateral,South and Central Asia and Far East Asia together account for 65% of ODA,"34% of ODA goes to Far East Asia, 29% to sub-Saharan Africa",63% of ODA is bilateral,80% of ODA is bilateral,"The UK is the largest funder of multilateral ODA, which totalled US$6.5 billion in 2016",Just over half of ODA is multilateral,"Excluding regionally unspecified ODA, multilateral ODA exceeds bilateral",Over a third of ODA goes to sub-Saharan Africa,30% of ODA is channelled through multilateral organisations,84% of ODA is bilateral
d7_subtitle,"Gross ODA, %, 2016, labels in US$ millions",,,,,,,,,,,,,,
d7_year,2016,,,,,,,,,,,,,,
p2_notes,"Non-transferred ODA includes debt relief, costs of refugees and students in donor countries, administrative costs and other forms. Where available, FDI figures are based on the 4th edition of the OECD Benchmark Definition of FDI; otherwise they rely on data reported according the 3rd edition. OOFs data shown does not include OOFs export credits. Acronyms: OECD: Organisation for Economic Co-operation and Development",,,,,,,,,,,,,,
p3_section_title_1,What is in the ODA bundle from _NAME_?,,,,,,,,,,,,,,
p3_intro,"This section shows data on the ODA bundle breakdown and sectorwise disbursement patterns from this donor. A focus of the ODA bundle allows questions on the modality of aid expenditure to be answered, such as: how much ODA is money, both grants and loans? How much is in-kind transfers such as food, commodities and expert advisors? How much is support for projects that combine both cash and inkind components?",,"Technical cooperation accounts for 33% of bilateral ODA and is the primary modality in most of the largest sectors, including governance, education and health. Cash grants account for 25% of bilateral ODA and are the primary modality in the humanitarian sector.","Cash grants are the largest modality, accounting for a third of bilateral ODA, while technical cooperation accounts for 28%. Commodities and food aid is also significant in humanitarian assistance, the largest sector.","Loans are the primary ODA instrument, at US$3.3 billion in 2016, or 45% of total bilateral ODA. Infrastructure financing accounted for over a third of ODA loans, with the environment and water and sanitation sectors also significant. Technical cooperation makes up 10% and cash grants 9% of ODA. 27% of ODA is not transferred outside of France. Infrastructure and education are the largest sectors in 2016, each receiving over US$1.1 billion. ODA to governance and security rose by US$257 to a record US$414 million in 2016. ","Loans are the primary financing instrument for Japanese ODA, accounting for 58% of the total in 2016. Loans made up 89% of ODA for infrastructure and 80% for water and sanitation, the largest two sectors. Technical cooperation is also significant, particularly in education, banking and business, and other cooperation with recipient governments.","39% of ODA is provided in the form of loans, which account for 88% of bilateral ODA to infrastructure, the largest sector. Technical cooperation is also significant, totalling almost US$400 million or 25% of total ODA; in education, agriculture and food security, and governance and security, it accounts for over a third of ODA.   ","Cash grants, technical cooperation and mixed project aid (which is typically a combination of the two) account for 15% of bilateral ODA. Mixed project aid is the largest modality for ODA in six of the largest 10 sectors. Non-transferred ODA accounts for 83% of total ODA; significant proportions of this relates to debt relief and administrative costs.","Non-transfer is the largest financing instrument, accounting for 38% of ODA in 2016. 60% of loans go to infrastructure or banking and business projects. Non-transferred ODA accounts for a growing proportion of the total, and growth in refugee-hosting costs contributed to much of the rise in German ODA between 2014 and 2016. Technical cooperation across sectors such as governance, education and environment is also a significant component of overall ODA.","Cash grants are the primary financing instrument for ODA, accounting for 33% of the total. They account for the largest proportion of funding to three of the five largest sectors: humanitarian, governance and security, and banking and business. The education sector saw the largest ODA growth of 45% in 2016, while the banking and business sector fell by a quarter.","The cost of refugee hosting reported as ODA accounted for 67% of total ODA in 2016 – growth in this spending accounted for the majority of the rise in ODA in 2016. At US$173 million, humanitarian assistance is the second largest sector, followed by debt relief at US$145 million. Cash grants account for the majority of disbursements in humanitarian assistance, while non-transfer accounts for the majority of disbursements in refugee hosting and debt relief.","Cash grants accounted for under a third of total ODA in 2016 and are the primary instrument for the majority of sectors, which accounted for 30% of ODA in 2016. Refugee-hosting costs make up a significant proportion of non-transferred ODA, and they have grown rapidly in recent years. Mixed project aid and technical cooperation account for smaller amounts overall: 22% and 13%, respectively.","Non-transfer is the primary instrument for ODA, accounting for 31% of the total in 2016. Non-transfer, cash grants and mixed project aid together make up over three-quarters of Norwegian ODA. At US$1.1 billion, ‘other’ is the largest sector, with refugee-hosting costs totalling US$800 million. Refugee-hosting costs and education were the fastest growing sectors in 2016.","Governance and security is the largest sector for non-transferred ODA, and grew by 6% in 2016, accounting for 46% of total bilateral ODA. Cash grants are the largest transferred modality, at 36% of total ODA, followed by global initiatives and northern non-governmental organisations at 13%. Banking and business is the fastest growing sector, more than doubling in 2016.","Mixed project aid, which is typically a mix of cash grants and technical cooperation, is the primary modality for US ODA, and accounts for the largest portion of funding to most sectors. Humanitarian assistance, the second largest sector, is an exception – cash grants account for 34% of ODA to this sector. Health is the largest sector, with funds totalling US$8.2 billion in 2016. Nine of the 10 largest recipients of health ODA are sub-Saharan African countries."
d9,ODA bundle breakdown,,Cash grants and technical cooperation account for almost 57% of ODA,"Cash grants are the largest instrument, followed by technical cooperation",Cash loans make up almost 49% of ODA; 26% of ODA is not transferred,"Loans are the largest instrument, followed by technical cooperation","Cash loans account for 39% of ODA, technical cooperation 25%",83% of ODA is not transferred; mixed project aid makes up 7% of ODA,Cash loans account for over a fifth of ODA; 40% is not transferred,Cash grants and mixed project aid account for half of ODA,Non-transferred modalities account for 74% of ODA,"Non-transferred modalities account for 27% of ODA, cash grants 31%",Cash grants and mixed project aid account for over half of ODA,Under a third of ODA is not transferred,"40% of ODA is mixed project aid, and over a sixth is cash grants"
d9_subtitle,"2016, % of gross bilateral ODA",,,,,,,,,,,,,,
d9_year,2016,,,,,,,,,,,,,,
d10,Aid broken down by ODA grants and ODA loans & equity investments,,100% of ODA is provided as grants,100% of ODA was provided as grants,45% of ODA is provided as loans while 55% is provided in grant form,Loans accounted for 58% of Japanese ODA in 2016,39% of ODA is provided as loans while 61% is provided in grant form,97% of ODA is provided in the form of grants,"77% of ODA is provided in grant form, while 23% is provided as loans",99% of ODA is provided as grants,The vast majority of ODA (97%) is provided in grant form,All ODA from the Netherlands is provided in grant form – there are no ODA loans,Norway does not provide ODA loans – all financing is grant based,The vast majority of ODA (99%) is provided in grant form,All ODA is provided in grant form – there are no ODA loans
d10_subtitle,"2016, % of gross bilateral ODA",,,,,,,,,,,,,,
d10_year,2016,,,,,,,,,,,,,,
d11,ODA disbursements by sector snapshot,,"Governance and security is the largest single sector, followed by education","Humanitarian assistance is the largest sector, at 18.2% of bilateral ODA",Infrastructure and education are the largest sectors,"Infrastructure is the largest sector, accounting for 40% of ODA",Infrastructure accounts for over a quarter of bilateral ODA,"Debt relief is the largest single sector; governance, security and civil society accounts for 3% of ODA","Refugee costs (part of ‘other’) are the largest sector, at 30% of ODA",Humanitarian assistance and governance and security are the largest sectors,Refugee costs (part of ‘other’) account for more than two thirds of ODA,"‘Other’ is the largest sector, with refugee costs constituting over half of the sector and 16% of overall ODA",Refugee costs (part of ‘other’) and humanitarian are the largest sectors,Refugee costs (part of ‘other’) and governance and security are the largest sectors,Health and humanitarian assistance account for almost half of bilateral ODA
d11_subtitle,"Gross bilateral ODA by sector, % of total, 2016",,,,,,,,,,,,,,
d11_year,2016,,,,,,,,,,,,,,
d12,ODA disbursements by sector trends,,"The agriculture and food security sector saw the largest ODA growth in 2016, while ODA to the education sector fell by over a third",The industry sector grew the most in 2016; humanitarian ODA fell by almost a quarter,"Humanitarian was one of the fastest growing sectors in 2016, while debt relief ODA fell by almost a third","General budget support is growing fastest, up from US$221 million in 2015 to US$753 million in 2016. Following a sharp rise, humanitarian ODA fell back to similar levels as in 2015",Health ODA grew by 22% in 2016; water and sanitation fell 22%,"Debt relief rose by over US$2 billion in 2016, while environment ODA fell by 40%","Humanitarian ODA rose by 150% in 2016, while debt relief fell by 50%","Education was the fastest growing sector in 2016, while agriculture fell by US$77 million","Debt relief rose by 80% in 2016, while infrastructure fell by 70%","Agriculture was the fastest growing sector in 2016, while refugee-hosting costs fell to just below 2014 levels",Education grew by 28% in 2016 and general budget support by 43%,"Humanitarian ODA grew by US$85 million, while refugee-hosting costs (part of the ‘other’ sector) fell back to 2014 levels","Education saw the largest percentage rise in 2016, while general budget support fell by more than US$280 million"
d12_subtitle,"Gross bilateral ODA by sector trends, US$ billions, constant 2016 prices",,,,,,,,,,,,,,
d12_start_year,2002,,,,,,,,,,,,,,
d12_end_year,2016,,,,,,,,,,,,,,
d13,ODA sector by aid bundle,,"Technical cooperation is the main instrument in the largest sector, as well as in other large sectors",Cash grants are the largest modality in five of the largest 10 sectors; technical cooperation is significant in many,Most education ODA is not transferred; cash loans are the primary instrument in infrastructure and environment,"Cash loans are the primary instrument in infrastructure, environment, water and sanitation, and industry and trade",Cash loans account for 88% of infrastructure; technical cooperation accounts for 40% of five sectors,Mixed project aid is the largest modality for six of the 10 most-funded sectors,Cash loans dominate infrastructure and banking and business ODA,Cash grants are the primary financing mechanism in six of the largest 10 sectors,Refugee costs account for the majority of 'other'. Cash grants are significant in many sectors,Cash grants are the primary financing mechanism for many of the largest sectors,Refugee costs account for 70% of 'other'; cash grants dominate in other large sectors,Refugee costs account for the majority of 'other'. Cash grants are the main instrument in most sectors,Mixed project aid is the largest modality for seven of the largest 10 sectors
d13_subtitle,"2016, gross disbursements ODA, labels are US$ millions",,,,,,,,,,,,,,
d13_above_column_title,Total aid by sector,,,,,,,,,,,,,,
d13_below_bars_title,What does the aid bundle look like for each sector?,,,,,,,,,,,,,,
d13_year,2016,,,,,,,,,,,,,,
p4_section_title_1,How are resources from _NAME_ targeted?,,,,,,,,,,,,,,
